,date,x1,x2,y1,y2,emission
0,2020-08-01,-112.5,-110.0,35.0,32.5,0.06563536822795868
1,2020-08-02,-112.5,-110.0,35.0,32.5,3.655335045574418
2,2020-08-03,-112.5,-110.0,35.0,32.5,14.2499652567044
3,2020-08-04,-112.5,-110.0,35.0,32.5,13.941542977160225
4,2020-08-05,-112.5,-110.0,35.0,32.5,11.145540956250386
5,2020-08-06,-112.5,-110.0,35.0,32.5,6.1621236517920295
6,2020-08-07,-112.5,-110.0,35.0,32.5,0.9964440561539689
7,2020-08-08,-112.5,-110.0,35.0,32.5,6.3514793098159075
8,2020-08-09,-112.5,-110.0,35.0,32.5,0.0
9,2020-08-10,-112.5,-110.0,35.0,32.5,5.6372339817839645
10,2020-08-11,-112.5,-110.0,35.0,32.5,2.7863852390625965
11,2020-08-12,-112.5,-110.0,35.0,32.5,0.0
12,2020-08-13,-112.5,-110.0,35.0,32.5,0.0
13,2020-08-14,-112.5,-110.0,35.0,32.5,0.0
14,2020-08-15,-112.5,-110.0,35.0,32.5,0.0
15,2020-08-16,-112.5,-110.0,35.0,32.5,0.31803929805755615
16,2020-08-17,-112.5,-110.0,35.0,32.5,0.0
17,2020-08-18,-112.5,-110.0,35.0,32.5,3.8851657352094007
18,2020-08-19,-112.5,-110.0,35.0,32.5,2.9066153124993335
19,2020-08-20,-112.5,-110.0,35.0,32.5,2.3039516254879966
20,2020-08-21,-112.5,-110.0,35.0,32.5,4.318654860895528
21,2020-08-22,-112.5,-110.0,35.0,32.5,3.5303168947952273
22,2020-08-23,-112.5,-110.0,35.0,32.5,4.467695913509467
23,2020-08-24,-112.5,-110.0,35.0,32.5,8.007642566183732
24,2020-08-25,-112.5,-110.0,35.0,32.5,6.7038539167452935
25,2020-08-26,-112.5,-110.0,35.0,32.5,4.298927486196527
26,2020-08-27,-112.5,-110.0,35.0,32.5,0.5001501691041041
27,2020-08-28,-112.5,-110.0,35.0,32.5,1.3529640057908987
28,2020-08-29,-112.5,-110.0,35.0,32.5,4.249432489912969
29,2020-08-30,-112.5,-110.0,35.0,32.5,0.0
30,2020-08-31,-112.5,-110.0,35.0,32.5,0.0
